Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
China,CHN,Age dependency ratio (% of working-age population),SP.POP.DPND,35.6729024667718,35.5904054041574,35.6741833499861,35.9439108102547,36.3852516719748,36.9684934334356,37.6684921504844,38.549146051708,39.5054214508848,40.4748947151799
China,CHN,"Age dependency ratio, old",SP.POP.DPND.OL,11.1693245375462,11.3899374632162,11.6572115617414,11.9513827146195,12.3019516098721,12.7507966033042,13.3210024711134,14.0251925824739,14.8453642785515,15.7240891253854
China,CHN,"Age dependency ratio, young",SP.POP.DPND.YG,24.5035779292256,24.2004679409412,24.0169717882447,23.9925280956352,24.0833000621027,24.2176968301314,24.347489679371,24.5239534692341,24.6600571723333,24.7508055897945
China,CHN,Female population 00-04,SP.POP.0004.FE,37244484,37488314,37698788,38085923,38559519,38931496,39060174,39148835,38905936,38324000
China,CHN,Female population 05-09,SP.POP.0509.FE,35855408,36046314,36259233,36495591,36727520,36981041,37305644,37730861,38191085,38563000
China,CHN,Female population 10-14,SP.POP.1014.FE,38759535,37399114,36456174,35934154,35756893,35784526,35893145,36090468,36362097,36610000
China,CHN,Female population 15-19,SP.POP.1519.FE,50855538,47430378,44493939,42034023,40051181,38450797,37164848,36277938,35847781,35692000
China,CHN,Female population 20-24,SP.POP.2024.FE,61368587,61968558,60988096,58248676,54374630,50418369,47056442,44198772,41843853,39883000
China,CHN,Female population 25-29,SP.POP.2529.FE,47287884,49128142,51696490,55054669,58469344,60844393,61510279,60611149,58007050,54165000
China,CHN,Female population 30-34,SP.POP.3034.FE,47917463,46311756,45439836,45205224,45659778,46851754,48738459,51359118,54823636,58260000
China,CHN,Female population 35-39,SP.POP.3539.FE,59251383,57374807,55143494,52489988,49762991,47470232,45932720,45123940,44989116,45466000
China,CHN,Female population 40-44,SP.POP.4044.FE,59731090,60805651,61225506,60955342,60056716,58657184,56866505,54720949,52198476,49509000
China,CHN,Female population 45-49,SP.POP.4549.FE,47512375,49932200,52384450,54876013,57181079,59001459,60139220,60627169,60492029,59634000
China,CHN,Female population 50-54,SP.POP.5054.FE,39313381,39487760,40403174,42063389,44279037,46727992,49178575,51652991,54232237,56550000
China,CHN,Female population 55-59,SP.POP.5559.FE,38989594,40249410,40572105,39966340,38944216,38319175,38577373,39527504,41249081,43450000
China,CHN,Female population 60-64,SP.POP.6064.FE,25733194,27709115,29915711,32562807,35256275,37406350,38676860,38997320,38484096,37537000
China,CHN,Female population 65-69,SP.POP.6569.FE,18816703,19467169,20205430,21146136,22340513,23880960,25795727,27897117,30466167,33046000
China,CHN,Female population 70-74,SP.POP.7074.FE,15706117,15919729,15954867,15992367,16122595,16469707,17102904,17806104,18692754,19775000
China,CHN,Female population 75-79,SP.POP.7579.FE,11369232,11727557,11937644,12130164,12319589,12507385,12698304,12784168,12870257,13012000
China,CHN,Female population 80+,SP.POP.80UP.FE,10474383,10726241,11366247,11935024,12412577,12786134,13059627,13737176,14334045,14798000
China,CHN,Male population 00-04,SP.POP.0004.MA,43465277,43753952,44010183,44404914,44860333,45186030,45237895,45198239,44828852,44104000
China,CHN,Male population 05-09,SP.POP.0509.MA,41286793,41649228,42008794,42388316,42752399,43121730,43539748,44038369,44530079,44875000
China,CHN,Male population 10-14,SP.POP.1014.MA,43824242,42419547,41503858,41073125,41033550,41214908,41471786,41824861,42252312,42637000
China,CHN,Male population 15-19,SP.POP.1519.MA,56139317,52770997,49826707,47282248,45176725,43479496,42162581,41311059,40980417,40960000
China,CHN,Male population 20-24,SP.POP.2024.MA,65465062,66359081,65644224,63145345,59470312,55652828,52359516,49503982,47072599,44987000
China,CHN,Male population 25-29,SP.POP.2529.MA,49958344,51950914,54747320,58403505,62155636,64863622,65828194,65204447,62849168,59205000
China,CHN,Male population 30-34,SP.POP.3034.MA,50538289,48827769,47905603,47660231,48152566,49442338,51491445,54344172,58105816,61869000
China,CHN,Male population 35-39,SP.POP.3539.MA,62079908,60275614,58038474,55292482,52421088,49993342,48370065,47519911,47378056,47889000
China,CHN,Male population 40-44,SP.POP.4044.MA,61712395,62783524,63289714,63210770,62549343,61341208,59640967,57501799,54896967,52067000
China,CHN,Male population 45-49,SP.POP.4549.MA,49736086,52153274,54530225,56890364,59051878,60786329,61934721,62510811,62566820,61945000
China,CHN,Male population 50-54,SP.POP.5054.MA,40997022,41206670,42157464,43890317,46184738,48678307,51119819,53515012,55958535,58126000
China,CHN,Male population 55-59,SP.POP.5559.MA,40256634,41586594,41901874,41273492,40232309,39616191,39918337,40905774,42691551,44952000
China,CHN,Male population 60-64,SP.POP.6064.MA,26384128,28265707,30399899,33062570,35824329,38045173,39363451,39658939,39125496,38181000
China,CHN,Male population 65-69,SP.POP.6569.MA,19761689,20299264,20832251,21522778,22458600,23791161,25584174,27584196,30116848,32699000
China,CHN,Male population 70-74,SP.POP.7074.MA,15776020,16053779,16089415,16092418,16168625,16437254,16955317,17465978,18092070,18900000
China,CHN,Male population 75-79,SP.POP.7579.MA,10110161,10430332,10756096,11063343,11337555,11554005,11720249,11855996,11948600,12047000
China,CHN,Male population 80+,SP.POP.80UP.MA,7582283,7746539,8346717,8862950,9275564,9577122,9764927,10429878,11011116,11443000
China,CHN,"Population, total",SP.POP.TOTL,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1391160000
China,CHN,"Population, female",SP.POP.TOTL.FE.IN,646186349,649172215,652141182,655175831,658274452,661488955,664756807,668291578,671989697,674274000
China,CHN,"Population, male",SP.POP.TOTL.MA.IN,685073651,688532785,691988818,695519169,699105548,702781045,706463193,710373422,714405303,716886000
China,CHN,Population growth (annual %),SP.POP.GROW,0.497381400884935,0.482959688678361,0.47915045424996,0.487231117971201,0.49370963351136,0.506311591779847,0.508136747291937,0.541478512050099,0.559121331017265,..
"Korea, Rep.",KOR,Age dependency ratio (% of working-age population),SP.POP.DPND,36.9294351727986,36.6245228084881,36.481759149123,36.3589055204387,36.3228990728866,36.4410282679253,36.7429178205437,37.1496082598761,37.7173432810396,38.473584892356
"Korea, Rep.",KOR,"Age dependency ratio, old",SP.POP.DPND.OL,14.1065949288952,14.6256698078325,15.1541028990333,15.7315478557879,16.3569927098224,17.0228285304901,17.729357567622,18.4280096396552,19.1621671978778,19.9745975607856
"Korea, Rep.",KOR,"Age dependency ratio, young",SP.POP.DPND.YG,22.8228402439034,21.9988530006556,21.3276562500897,20.6273576646507,19.9659063630643,19.4181997374352,19.0135602529217,18.7215986202209,18.5551760831618,18.4989873315704
"Korea, Rep.",KOR,Female population 00-04,SP.POP.0004.FE,1109083,1106255,1129279,1127118,1109717,1094092,1087735,1082163,1084343,1093000
"Korea, Rep.",KOR,Female population 05-09,SP.POP.0509.FE,1258264,1199345,1155342,1126529,1114915,1116059,1114780,1110092,1105113,1099000
"Korea, Rep.",KOR,Female population 10-14,SP.POP.1014.FE,1558142,1512727,1458557,1392983,1322987,1260007,1208782,1173601,1150883,1137000
"Korea, Rep.",KOR,Female population 15-19,SP.POP.1519.FE,1601882,1638221,1658276,1649565,1618544,1576390,1524354,1468373,1403132,1334000
"Korea, Rep.",KOR,Female population 20-24,SP.POP.2024.FE,1471646,1436247,1462606,1522016,1596093,1659276,1690336,1694314,1677382,1642000
"Korea, Rep.",KOR,Female population 25-29,SP.POP.2529.FE,1846872,1797959,1747846,1676365,1602950,1556852,1546714,1550783,1587414,1641000
"Korea, Rep.",KOR,Female population 30-34,SP.POP.3034.FE,1950641,1907490,1877183,1866906,1869302,1869134,1849229,1804530,1733201,1651000
"Korea, Rep.",KOR,Female population 35-39,SP.POP.3539.FE,2172189,2149054,2105369,2041702,1971292,1913247,1871885,1859732,1867039,1880000
"Korea, Rep.",KOR,Female population 40-44,SP.POP.4044.FE,2142557,2156658,2167373,2169836,2161535,2141489,2102750,2063755,2011525,1954000
"Korea, Rep.",KOR,Female population 45-49,SP.POP.4549.FE,2079315,2090971,2106274,2121504,2138179,2155765,2163165,2164679,2161582,2151000
"Korea, Rep.",KOR,Female population 50-54,SP.POP.5054.FE,1897475,1980503,2038951,2066747,2074869,2082352,2092874,2106910,2123337,2139000
"Korea, Rep.",KOR,Female population 55-59,SP.POP.5559.FE,1363604,1445277,1545013,1661804,1784241,1895318,1976892,2032519,2059875,2067000
"Korea, Rep.",KOR,Female population 60-64,SP.POP.6064.FE,1121103,1161236,1203547,1244651,1291452,1355095,1436014,1533244,1649235,1770000
"Korea, Rep.",KOR,Female population 65-69,SP.POP.6569.FE,954692,976249,1001241,1030500,1064339,1103218,1143324,1183210,1223604,1269000
"Korea, Rep.",KOR,Female population 70-74,SP.POP.7074.FE,830220,852311,869559,884340,899350,918885,941966,964721,993224,1026000
"Korea, Rep.",KOR,Female population 75-79,SP.POP.7579.FE,618966,654709,683170,709632,735287,761561,786021,800842,814865,829000
"Korea, Rep.",KOR,Female population 80+,SP.POP.80UP.FE,619175,659769,712003,766063,822454,882105,942590,1005686,1067907,1129000
"Korea, Rep.",KOR,Male population 00-04,SP.POP.0004.MA,1193625,1182574,1195835,1191604,1177905,1167082,1163246,1163241,1166579,1173000
"Korea, Rep.",KOR,Male population 05-09,SP.POP.0509.MA,1378981,1317248,1267622,1230899,1209436,1200595,1191485,1181845,1174920,1170000
"Korea, Rep.",KOR,Male population 10-14,SP.POP.1014.MA,1720333,1660899,1596855,1524743,1450870,1384388,1327399,1284327,1252374,1229000
"Korea, Rep.",KOR,Male population 15-19,SP.POP.1519.MA,1827231,1860276,1872087,1848399,1798517,1738719,1672960,1606442,1535087,1462000
"Korea, Rep.",KOR,Male population 20-24,SP.POP.2024.MA,1650066,1628948,1665974,1734107,1815257,1882561,1912188,1908109,1876132,1821000
"Korea, Rep.",KOR,Male population 25-29,SP.POP.2529.MA,1950892,1911559,1877891,1822882,1763663,1729136,1728539,1743600,1792355,1856000
"Korea, Rep.",KOR,Male population 30-34,SP.POP.3034.MA,2049105,2001181,1970269,1963438,1974268,1986718,1980796,1945472,1883399,1811000
"Korea, Rep.",KOR,Male population 35-39,SP.POP.3539.MA,2284559,2264375,2219540,2149920,2070994,2006222,1962910,1952322,1965744,1988000
"Korea, Rep.",KOR,Male population 40-44,SP.POP.4044.MA,2205073,2226924,2245985,2258045,2259241,2246526,2211125,2169998,2111656,2046000
"Korea, Rep.",KOR,Male population 45-49,SP.POP.4549.MA,2101849,2116754,2135721,2155302,2177291,2201814,2217835,2227579,2234845,2234000
"Korea, Rep.",KOR,Male population 50-54,SP.POP.5054.MA,1883885,1970343,2030174,2058575,2067516,2077363,2092344,2110385,2132033,2154000
"Korea, Rep.",KOR,Male population 55-59,SP.POP.5559.MA,1320530,1392506,1487033,1603891,1729694,1844476,1928828,1985505,2014437,2024000
