타임스탬프,1. 您的年纪？,2. 您的国籍？,3. 您的性别,4. 结婚与否？,5. 月平均所得？,6. 您的职业？,7. 在过去一年中是否定期服用保健品?,7-1正在服用的保健品服用频率是？,9. 过去一年中是否为家人购买保健品？,9-1. 送保健品给父母的最好时机是？,10. 购买保健品时主要使用的品种是？（可多选）,11. 购买保健品的主要途径是?,12. 你喜欢的味道?（可多选）,13. 你喜欢用什么方式服用?,14. 是否使用过电子咖啡壶？,15.对于需要每天服用一次的保健品最理想的价格。（每个月为基准）,1.请勾选出您父母的年龄,2.父母是否有确诊过有任何的慢性疾病，是哪种,3.父母是否在过去一年中固定使用哪种保健品,3-1.请将使用保健品的频度在下方勾选出,4.父母是否有使用咖啡机的经验或体会
2019/05/20 4:02:17 오후 GMT+9,20 – 25,中华人民共和国,男,未婚,一百万元以上不满二百万元（6000-12000元）,学生,有,每周1-3次,有,过节,维他命/矿物质,线上购物,红茶,袋装型,否,10-15万（600-800元）,55-60岁,关节炎,是,每周4-6次,否
2019/05/22 5:28:50 오후 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,无,,无,,维他命/矿物质;鱼肝油;高钙类,商场,奶茶,液体型,否,5-10万（300-600元）,55-60岁,没有,否,,否
2019/05/23 3:38:41 오후 GMT+9,20 – 25,中华人民共和国,女,未婚,二百万元以上不满三百万元（12000-18000元）,学生,有,每周1-3次,有,过节,维他命/矿物质,商场,红茶,药丸型,是,10-15万（600-800元）,55-60岁,关节炎,是,每天1次,否
2019/05/23 6:36:16 오후 GMT+9,20 – 25,中华人民共和国,男,未婚,不足一百万元（6，000 元以下）,学生,有,每周4-6回,有,过节,维他命/矿物质;芦荟;鱼肝油,线上购物,红茶;水果茶;草本茶,袋装型,是,10-15万（600-800元）,55-60岁,关节炎,是,每天3次,否
2019/05/23 6:38:51 오후 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,无,,无,,红参;维他命/矿物质;人参;鱼肝油,商场,红茶;水果茶;奶茶;可可茶,袋装型,否,5-10万（300-600元）,55-60岁,骨质疏松,是,每天1次,否
2019/05/23 6:42:13 오후 GMT+9,20 – 25,中华人民共和国,男,未婚,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,红参;维他命/矿物质;人参;鱼肝油;高钙类,线上购物,红茶;水果茶;草本茶;奶茶;可可茶,袋装型,是,10-15万（600-800元）,55-60岁,骨质疏松,是,每周1-3次,是
2019/05/23 6:51:17 오후 GMT+9,20 – 25,中华人民共和国,男,未婚,一百万元以上不满二百万元（6000-12000元）,学生,有,每周1-3次,有,过节,红参;鱼肝油;高钙类,线上购物,红茶;草本茶,粉末型,是,5-10万（300-600元）,55-60岁,关节炎,是,每周4-6次,是
2019/05/23 9:13:28 오후 GMT+9,25 – 30,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,无,,有,过节,高钙类,专柜,奶茶,液体型,否,5-10万（300-600元）,55-60岁,无,否,,否
2019/05/24 5:51:53 오후 GMT+9,20 – 25,中华人民共和国,女,未婚,一百万元以上不满二百万元（6000-12000元）,学生,有,每日一次,有,父亲节或母亲节,红参;维他命/矿物质;膳食纤维i,商场,红茶;水果茶,药丸型,否,5-10万（300-600元）,60-65岁,糖尿病,是,每天2次,否
2019/05/24 5:53:42 오후 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,无,,无,,红参,专柜,红茶,胶囊型,是,10-15万（600-800元）,50,无,否,,否
2019/05/25 9:24:41 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,无,,无,,红参,商场,红茶;奶茶,胶囊型,否,5万以下（300元以下）,55-60岁,高血压,是,每周1-3次,否
2019/05/25 10:06:16 오전 GMT+9,25 – 30,中华人民共和国,女,未婚,一百万元以上不满二百万元（6000-12000元）,学生,无,,有,过节,高钙类,商场,草本茶,液体型,否,10-15万（600-800元）,55-60岁,关节炎,否,,否
2019/05/25 10:08:42 오전 GMT+9,25 – 30,中华人民共和国,女,未婚,一百万元以上不满二百万元（6000-12000元）,学生,无,,有,过节,高钙类,百货商场,草本茶,液体型,否,10-15万（600-800元）,55-60岁,关节炎,否,,否
2019/05/25 10:28:43 오전 GMT+9,20 – 25,中华人民共和国,女,未婚,不足一百万元（6，000 元以下）,学生,有,每周1-3次,有,过节,维他命/矿物质;鱼肝油;膳食纤维i;高钙类,线上购物,红茶;水果茶;草本茶;奶茶;可可茶,袋装型,是,10-15万（600-800元）,55-60岁,关节炎,是,每周1-3次,是
